Sector,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,TOTAL
Agriculture,0,3,47,156,47,13,9,1,0,276
Automotive,0,18,28,66,45,49,17,2,0,225
People with Disability*,4,12,44,123,2,0,0,0,0,185
Electronics & Hardware,0,0,34,98,39,6,3,0,0,180
Rubber,4,5,18,96,26,9,1,1,0,160
Construction,7,30,26,66,15,12,0,0,0,156
Gems & Jewellery,1,8,41,31,26,7,4,0,0,118
Textiles & Handlooms,0,1,14,80,12,0,0,0,0,107
IT-ITES,0,0,0,7,18,17,56,8,0,106
Tourism & Hospitality,2,2,17,34,24,15,5,1,0,100
People with Disability,0,6,32,47,5,0,0,0,0,90
Handicrafts & Carpets,0,1,23,50,10,1,0,0,0,85
Telecom ,0,0,4,43,14,10,3,0,0,74
Logistics,0,3,20,25,16,9,1,0,0,74
Life Sciences,0,3,9,20,34,7,1,0,0,74
Aerospace & Aviation,0,0,16,40,4,7,1,0,0,68
IT-ITeS,0,0,0,8,12,13,26,8,0,67
Media & Entertainment,0,0,8,30,10,10,6,0,0,64
Capital Goods,0,16,13,20,7,0,0,0,0,56
Leather,0,8,0,37,7,0,0,0,0,52
Food Processing,0,1,2,34,8,4,1,0,1,51
Healthcare,0,0,9,30,5,2,1,0,0,47
"Apparel, Made-Ups & Home Furnishing",0,0,5,20,14,3,3,0,0,45
Power,0,3,12,22,4,4,0,0,0,45
Iron & Steel,1,5,20,10,6,0,0,0,0,42
Management and Entrepreneurship & Professional,0,2,5,17,10,7,0,0,0,41
Green Jobs,0,1,6,17,6,3,3,0,0,36
Infrastructure Equipment,0,0,9,20,0,0,2,0,0,31
Plumbing,1,4,10,4,4,2,3,2,0,30
Paints & Coatings ,0,2,5,15,5,0,0,0,0,27
Hydrocarbons,0,1,3,15,4,2,0,0,0,25
Furniture & Fittings,0,2,9,10,2,1,0,0,0,24
Mining ,0,0,1,21,2,0,0,0,0,24
Mining,1,2,3,17,0,0,0,0,0,23
Beauty & Wellness,0,0,8,7,5,2,0,0,0,22
Retail,1,1,3,7,4,2,2,0,0,20
Handicrafts and Carpet,0,0,2,13,3,1,0,0,0,19
Sports,0,1,1,6,6,2,1,0,0,17
"Banking, Financial Services and Insurance",0,0,2,11,3,0,0,0,0,16
"Instrumentation, Automation, Surveillance and Communication",0,0,1,11,2,0,0,0,0,14
Domestic Worker,0,0,7,5,1,0,0,0,0,13
Healthcare ,0,0,0,0,1,0,0,0,0,1
